transcript_id	gene_id	transcript_name	gene_name	gene_biotype
FBtr0082557	FBgn0037978	KLHL18-RB	KLHL18	protein_coding
FBtr0082556	FBgn0037978	KLHL18-RA	KLHL18	protein_coding
FBtr0113224	FBgn0037979	GCC185-RB	GCC185	protein_coding
FBtr0335433	FBgn0037980	DCAF12-RB	DCAF12	protein_coding
FBtr0082555	FBgn0037980	DCAF12-RA	DCAF12	protein_coding
FBtr0082537	FBgn0037981	Spt3-RA	Spt3	protein_coding
FBtr0339640	FBgn0051358	CG31358-RB	CG31358	protein_coding
FBtr0082554	FBgn0051358	CG31358-RA	CG31358	protein_coding
FBtr0300638	FBgn0260231	CG42505-RA	CG42505	protein_coding
FBtr0300639	FBgn0260230	CG42504-RA	CG42504	protein_coding
FBtr0082538	FBgn0037985	ssp5-RA	ssp5	protein_coding
FBtr0301723	FBgn0037986	CG14736-RE	CG14736	protein_coding
FBtr0301722	FBgn0037986	CG14736-RD	CG14736	protein_coding
FBtr0301724	FBgn0037986	CG14736-RF	CG14736	protein_coding
FBtr0339639	FBgn0037986	CG14736-RG	CG14736	protein_coding
FBtr0082553	FBgn0037987	CG14739-RA	CG14739	protein_coding
FBtr0082552	FBgn0037988	CG14740-RA	CG14740	protein_coding
FBtr0307015	FBgn0037989	ATP8B-RC	ATP8B	protein_coding
FBtr0339645	FBgn0037989	ATP8B-RH	ATP8B	protein_coding
FBtr0339643	FBgn0037989	ATP8B-RF	ATP8B	protein_coding
FBtr0339646	FBgn0037989	ATP8B-RI	ATP8B	protein_coding
FBtr0307016	FBgn0037989	ATP8B-RD	ATP8B	protein_coding
FBtr0300351	FBgn0037989	ATP8B-RB	ATP8B	protein_coding
FBtr0339644	FBgn0037989	ATP8B-RG	ATP8B	protein_coding
FBtr0082542	FBgn0051361	dpr17-RA	dpr17	protein_coding
FBtr0339641	FBgn0051361	dpr17-RD	dpr17	protein_coding
FBtr0339642	FBgn0051361	dpr17-RE	dpr17	protein_coding
FBtr0300126	FBgn0051361	dpr17-RC	dpr17	protein_coding
FBtr0082543	FBgn0051361	dpr17-RB	dpr17	protein_coding
FBtr0308292	FBgn0037992	CG4702-RB	CG4702	protein_coding
FBtr0082550	FBgn0037992	CG4702-RA	CG4702	protein_coding
FBtr0308293	FBgn0037992	CG4702-RC	CG4702	protein_coding
FBtr0308294	FBgn0037992	CG4702-RD	CG4702	protein_coding
FBtr0082544	FBgn0011905	FBtr0082544	tRNA:Lys-TTT-2-5	tRNA
FBtr0339647	FBgn0037993	dpr15-RB	dpr15	protein_coding
FBtr0082549	FBgn0037993	dpr15-RA	dpr15	protein_coding
FBtr0082548	FBgn0261714	Cpn-RB	Cpn	protein_coding
FBtr0082547	FBgn0261714	Cpn-RA	Cpn	protein_coding
FBtr0082546	FBgn0037994	eIF3d2-RA	eIF3d2	protein_coding
FBtr0309189	FBgn0263404	CG43450-RA	CG43450	protein_coding
FBtr0082545	FBgn0037995	CG3809-RA	CG3809	protein_coding
FBtr0082558	FBgn0051356	FBtr0082558	tRNA:Thr-TGT-1-1	tRNA
FBtr0082625	FBgn0037996	CG4830-RA	CG4830	protein_coding
FBtr0334597	FBgn0037998	Cog1-RC	Cog1	protein_coding
FBtr0334596	FBgn0037998	Cog1-RB	Cog1	protein_coding
FBtr0082624	FBgn0037998	Cog1-RA	Cog1	protein_coding
FBtr0306051	FBgn0037997	CG14742-RA	CG14742	protein_coding
FBtr0082623	FBgn0037999	CG4860-RA	CG4860	protein_coding
FBtr0347166	FBgn0267676	FBtr0347166	CR46012	ncRNA
FBtr0082559	FBgn0038000	CG10014-RA	CG10014	protein_coding
FBtr0302311	FBgn0038001	CG17404-RB	CG17404	protein_coding
FBtr0082621	FBgn0038002	CG12256-RA	CG12256	protein_coding
FBtr0309310	FBgn0263454	FBtr0309310	CR43477	ncRNA
FBtr0082560	FBgn0038003	CG3916-RA	CG3916	protein_coding
FBtr0082620	FBgn0011270	Pglym87-RA	Pglym87	protein_coding
FBtr0082619	FBgn0038005	Cyp313a5-RA	Cyp313a5	protein_coding
FBtr0308561	FBgn0038006	Cyp313a2-RB	Cyp313a2	protein_coding
FBtr0082617	FBgn0038007	Cyp313a3-RA	Cyp313a3	protein_coding
FBtr0334690	FBgn0264828	FBtr0334690	CR44036	ncRNA
FBtr0346252	FBgn0267142	FBtr0346252	CR45582	ncRNA
FBtr0082561	FBgn0038008	CG3942-RA	CG3942	protein_coding
FBtr0347482	FBgn0267922	FBtr0347482	CR46203	ncRNA
FBtr0082562	FBgn0003651	svp-RC	svp	protein_coding
FBtr0082563	FBgn0003651	svp-RA	svp	protein_coding
FBtr0082564	FBgn0003651	svp-RB	svp	protein_coding
FBtr0331183	FBgn0003651	svp-RE	svp	protein_coding
FBtr0334691	FBgn0264829	CG44037-RA	CG44037	protein_coding
FBtr0334692	FBgn0264830	CG44038-RA	CG44038	protein_coding
FBtr0347167	FBgn0267677	FBtr0347167	CR46013	ncRNA
FBtr0334693	FBgn0264831	FBtr0334693	CR44039	ncRNA
FBtr0082565	FBgn0038009	CG17738-RA	CG17738	protein_coding
FBtr0300319	FBgn0259975	Sfp87B-RA	Sfp87B	protein_coding
FBtr0347168	FBgn0267678	FBtr0347168	CR46014	ncRNA
FBtr0082566	FBgn0038011	CG4066-RA	CG4066	protein_coding
FBtr0082616	FBgn0051432	FBtr0082616	tRNA:Thr-TGT-2-5	tRNA
FBtr0082567	FBgn0038012	CG10013-RA	CG10013	protein_coding
FBtr0346250	FBgn0267144	FBtr0346250	CR45584	ncRNA
FBtr0346251	FBgn0267143	FBtr0346251	CR45583	ncRNA
FBtr0343912	FBgn0266246	FBtr0343912	CR44941	ncRNA
FBtr0343913	FBgn0266261	CG44956-RA	CG44956	protein_coding
FBtr0082614	FBgn0038013	CG10038-RB	CG10038	protein_coding
FBtr0082615	FBgn0038013	CG10038-RA	CG10038	protein_coding
FBtr0082613	FBgn0038014	CG10041-RA	CG10041	protein_coding
FBtr0082611	FBgn0038016	MBD-R2-RB	MBD-R2	protein_coding
FBtr0082568	FBgn0038017	CG4115-RA	CG4115	protein_coding
FBtr0091921	FBgn0065094	FBtr0091921	snmRNA:419	ncRNA
FBtr0082610	FBgn0038018	Tim17a1-RA	Tim17a1	protein_coding
FBtr0344388	FBgn0038018	Tim17a1-RB	Tim17a1	protein_coding
FBtr0082609	FBgn0042206	GstD10-RA	GstD10	protein_coding
FBtr0344264	FBgn0042206	GstD10-RB	GstD10	protein_coding
FBtr0082608	FBgn0038020	GstD9-RA	GstD9	protein_coding
FBtr0344263	FBgn0038020	GstD9-RB	GstD9	protein_coding
FBtr0082607	FBgn0001149	GstD1-RA	GstD1	protein_coding
FBtr0100410	FBgn0001149	GstD1-RB	GstD1	protein_coding
FBtr0347169	FBgn0267679	FBtr0347169	CR46015	ncRNA
FBtr0082569	FBgn0010038	GstD2-RA	GstD2	protein_coding
FBtr0082570	FBgn0010039	GstD3-RA	GstD3	protein_coding
FBtr0082571	FBgn0010040	GstD4-RA	GstD4	protein_coding
FBtr0082572	FBgn0010041	GstD5-RA	GstD5	protein_coding
FBtr0082573	FBgn0010042	GstD6-RA	GstD6	protein_coding
FBtr0082574	FBgn0010043	GstD7-RA	GstD7	protein_coding
FBtr0082575	FBgn0010044	GstD8-RA	GstD8	protein_coding
FBtr0344387	FBgn0038028	CG10035-RB	CG10035	protein_coding
FBtr0082606	FBgn0038028	CG10035-RA	CG10035	protein_coding
FBtr0082576	FBgn0038029	GstD11-RA	GstD11	protein_coding
FBtr0114565	FBgn0038029	GstD11-RB	GstD11	protein_coding
FBtr0112654	FBgn0085431	CG34402-RC	CG34402	protein_coding
FBtr0344385	FBgn0085431	CG34402-RE	CG34402	protein_coding
FBtr0112656	FBgn0085431	CG34402-RD	CG34402	protein_coding
FBtr0332162	FBgn0053098	CG33098-RF	CG33098	protein_coding
FBtr0332161	FBgn0053098	CG33098-RE	CG33098	protein_coding
FBtr0082580	FBgn0053098	CG33098-RC	CG33098	protein_coding
FBtr0082579	FBgn0053098	CG33098-RB	CG33098	protein_coding
FBtr0082578	FBgn0053098	CG33098-RD	CG33098	protein_coding
FBtr0347002	FBgn0038032	CG10096-RC	CG10096	protein_coding
FBtr0347003	FBgn0038032	CG10096-RD	CG10096	protein_coding
FBtr0082603	FBgn0038032	CG10096-RA	CG10096	protein_coding
FBtr0082604	FBgn0038032	CG10096-RB	CG10096	protein_coding
FBtr0347004	FBgn0038033	CG10097-RD	CG10097	protein_coding
FBtr0344386	FBgn0038033	CG10097-RC	CG10097	protein_coding
FBtr0100525	FBgn0038033	CG10097-RB	CG10097	protein_coding
FBtr0472646	FBgn0038034	Cyp9f3-RB	Cyp9f3	protein_coding
FBtr0082600	FBgn0038035	lig3-RA	lig3	protein_coding
FBtr0082598	FBgn0038037	Cyp9f2-RA	Cyp9f2	protein_coding
FBtr0082583	FBgn0038038	CG5167-RA	CG5167	protein_coding
FBtr0082584	FBgn0038039	CG5196-RA	CG5196	protein_coding
FBtr0082585	FBgn0038039	CG5196-RB	CG5196	protein_coding
FBtr0344982	FBgn0000455	Dip-C-RB	Dip-C	protein_coding
FBtr0082597	FBgn0000455	Dip-C-RA	Dip-C	protein_coding
FBtr0091665	FBgn0065087	FBtr0091665	snmRNA:649	ncRNA
FBtr0304744	FBgn0082831	pps-RB	pps	protein_coding
FBtr0082586	FBgn0082831	pps-RA	pps	protein_coding
FBtr0082596	FBgn0038042	Scgbeta-RA	Scgbeta	protein_coding
FBtr0082587	FBgn0038043	CG17202-RA	CG17202	protein_coding
FBtr0082595	FBgn0004103	Pp1-87B-RA	Pp1-87B	protein_coding
FBtr0082588	FBgn0038045	NANS-RA	NANS	protein_coding
FBtr0082594	FBgn0038046	CG5641-RA	CG5641	protein_coding
FBtr0082589	FBgn0038047	CG5245-RA	CG5245	protein_coding
FBtr0082590	FBgn0086134	Prosalpha2-RA	Prosalpha2	protein_coding
FBtr0082593	FBgn0029512	Aos1-RA	Aos1	protein_coding
FBtr0082591	FBgn0038049	CG5844-RA	CG5844	protein_coding
FBtr0082592	FBgn0043043	Desat2-RA	Desat2	protein_coding
FBtr0082682	FBgn0038051	CG17207-RA	CG17207	protein_coding
FBtr0082626	FBgn0086687	Desat1-RA	Desat1	protein_coding
FBtr0082627	FBgn0086687	Desat1-RC	Desat1	protein_coding
FBtr0082628	FBgn0086687	Desat1-RE	Desat1	protein_coding
FBtr0082629	FBgn0086687	Desat1-RB	Desat1	protein_coding
FBtr0082630	FBgn0086687	Desat1-RD	Desat1	protein_coding
FBtr0082631	FBgn0038052	CG5538-RA	CG5538	protein_coding
FBtr0082632	FBgn0038053	CG18549-RA	CG18549	protein_coding
FBtr0082633	FBgn0038054	CG5509-RA	CG5509	protein_coding
FBtr0082634	FBgn0038055	trus-RA	trus	protein_coding
FBtr0082681	FBgn0038056	CG5961-RA	CG5961	protein_coding
FBtr0340187	FBgn0038056	CG5961-RC	CG5961	protein_coding
FBtr0303029	FBgn0038056	CG5961-RB	CG5961	protein_coding
FBtr0303028	FBgn0038057	CG12267-RB	CG12267	protein_coding
FBtr0082635	FBgn0038057	CG12267-RA	CG12267	protein_coding
FBtr0082680	FBgn0038058	CG5608-RA	CG5608	protein_coding
FBtr0082679	FBgn0013277	Hsp70Ba-RA	Hsp70Ba	protein_coding
FBtr0082678	FBgn0052865	FBtr0082678	alphagamma-element:CR3286	ncRNA
FBtr0082636	FBgn0051354	Hsp70Bbb-RA	Hsp70Bbb	protein_coding
FBtr0347424	FBgn0267866	FBtr0347424	CR46154	pseudogene
FBtr0082637	FBgn0013278	Hsp70Bb-RA	Hsp70Bb	protein_coding
FBtr0347425	FBgn0267867	FBtr0347425	CR46155	pseudogene
FBtr0082638	FBgn0013279	Hsp70Bc-RA	Hsp70Bc	protein_coding
FBtr0290334	FBgn0250910	Octbeta3R-RF	Octbeta3R	protein_coding
FBtr0290335	FBgn0250910	Octbeta3R-RG	Octbeta3R	protein_coding
FBtr0308597	FBgn0250910	Octbeta3R-RK	Octbeta3R	protein_coding
FBtr0301944	FBgn0250910	Octbeta3R-RJ	Octbeta3R	protein_coding
FBtr0082639	FBgn0028374	Hug-RA	Hug	protein_coding
FBtr0347170	FBgn0267680	FBtr0347170	CR46016	ncRNA
FBtr0304846	FBgn0038063	Octbeta2R-RE	Octbeta2R	protein_coding
FBtr0347149	FBgn0038063	Octbeta2R-RG	Octbeta2R	protein_coding
FBtr0304844	FBgn0038063	Octbeta2R-RC	Octbeta2R	protein_coding
FBtr0330120	FBgn0038063	Octbeta2R-RF	Octbeta2R	protein_coding
FBtr0304845	FBgn0038063	Octbeta2R-RD	Octbeta2R	protein_coding
FBtr0100019	FBgn0038063	Octbeta2R-RA	Octbeta2R	protein_coding
FBtr0304230	FBgn0262383	FBtr0304230	mir-284	pre_miRNA
FBtr0347171	FBgn0267681	FBtr0347171	CR46017	ncRNA
FBtr0343914	FBgn0266247	FBtr0343914	CR44942	ncRNA
FBtr0082671	FBgn0005671	Vha55-RA	Vha55	protein_coding
FBtr0082670	FBgn0005671	Vha55-RB	Vha55	protein_coding
FBtr0301661	FBgn0005671	Vha55-RC	Vha55	protein_coding
FBtr0082642	FBgn0038065	Snx3-RB	Snx3	protein_coding
FBtr0082641	FBgn0038065	Snx3-RA	Snx3	protein_coding
FBtr0445304	FBgn0260444	Not10-RB	Not10	protein_coding
FBtr0082643	FBgn0260444	Not10-RA	Not10	protein_coding
FBtr0082644	FBgn0042207	CG18530-RA	CG18530	protein_coding
FBtr0347172	FBgn0267682	FBtr0347172	CR46018	ncRNA
FBtr0110781	FBgn0038067	CG11598-RB	CG11598	protein_coding
FBtr0303840	FBgn0038068	CG11600-RB	CG11600	protein_coding
FBtr0303841	FBgn0038069	CG11608-RB	CG11608	protein_coding
FBtr0301150	FBgn0038070	CG6753-RB	CG6753	protein_coding
FBtr0082648	FBgn0038071	Dtg-RA	Dtg	protein_coding
FBtr0082649	FBgn0038072	CG6225-RA	CG6225	protein_coding
FBtr0113225	FBgn0038072	CG6225-RB	CG6225	protein_coding
FBtr0346248	FBgn0267146	FBtr0346248	CR45586	ncRNA
FBtr0310613	FBgn0038073	CG14395-RD	CG14395	protein_coding
FBtr0335032	FBgn0038073	CG14395-RI	CG14395	protein_coding
FBtr0335030	FBgn0038073	CG14395-RG	CG14395	protein_coding
FBtr0300769	FBgn0038073	CG14395-RB	CG14395	protein_coding
FBtr0335028	FBgn0038073	CG14395-RE	CG14395	protein_coding
FBtr0335033	FBgn0038073	CG14395-RJ	CG14395	protein_coding
FBtr0335029	FBgn0038073	CG14395-RF	CG14395	protein_coding
FBtr0335031	FBgn0038073	CG14395-RH	CG14395	protein_coding
FBtr0082651	FBgn0038074	Gnmt-RA	Gnmt	protein_coding
FBtr0309980	FBgn0263621	CG43630-RA	CG43630	protein_coding
FBtr0082668	FBgn0026207	mbo-RA	mbo	protein_coding
FBtr0082667	FBgn0038076	Cyp313a4-RA	Cyp313a4	protein_coding
FBtr0082666	FBgn0001296	kar-RA	kar	protein_coding
FBtr0302563	FBgn0001296	kar-RB	kar	protein_coding
FBtr0082665	FBgn0005355	Su(fu)-RA	Su(fu)	protein_coding
FBtr0082664	FBgn0051347	CG31347-RA	CG31347	protein_coding
FBtr0082652	FBgn0011745	Arp1-RA	Arp1	protein_coding
FBtr0082663	FBgn0038078	CG14391-RA	CG14391	protein_coding
FBtr0113226	FBgn0038079	NijC-RB	NijC	protein_coding
FBtr0113227	FBgn0038079	NijC-RC	NijC	protein_coding
FBtr0113228	FBgn0038079	NijC-RD	NijC	protein_coding
FBtr0114499	FBgn0038079	NijC-RE	NijC	protein_coding
FBtr0114500	FBgn0038079	NijC-RF	NijC	protein_coding
FBtr0114501	FBgn0038079	NijC-RG	NijC	protein_coding
FBtr0082654	FBgn0016693	Past1-RA	Past1	protein_coding
FBtr0082655	FBgn0016693	Past1-RB	Past1	protein_coding
FBtr0082656	FBgn0038080	CG12279-RA	CG12279	protein_coding
FBtr0082662	FBgn0002905	mus308-RA	mus308	protein_coding
FBtr0082661	FBgn0002719	Men-RA	Men	protein_coding
FBtr0082660	FBgn0002719	Men-RB	Men	protein_coding
FBtr0330025	FBgn0002719	Men-RC	Men	protein_coding
FBtr0337083	FBgn0265162	FBtr0337083	CR44231	ncRNA
FBtr0082657	FBgn0038082	CG5724-RA	CG5724	protein_coding
FBtr0302379	FBgn0038083	CG5999-RB	CG5999	protein_coding
FBtr0347534	FBgn0267958	FBtr0347534	CR46238	ncRNA
FBtr0082658	FBgn0038084	beat-Vc-RA	beat-Vc	protein_coding
FBtr0337086	FBgn0265164	FBtr0337086	CR44233	ncRNA
FBtr0337084	FBgn0265163	FBtr0337084	CR44232	ncRNA
FBtr0337085	FBgn0265163	FBtr0337085	CR44232	ncRNA
FBtr0082689	FBgn0051345	CG31345-RA	CG31345	protein_coding
FBtr0347512	FBgn0267937	FBtr0347512	CR46217	ncRNA
FBtr0337093	FBgn0038087	beat-Va-RC	beat-Va	protein_coding
FBtr0082688	FBgn0038087	beat-Va-RA	beat-Va	protein_coding
FBtr0302367	FBgn0038087	beat-Va-RB	beat-Va	protein_coding
FBtr0346247	FBgn0267147	FBtr0346247	CR45587	ncRNA
FBtr0337092	FBgn0265165	FBtr0337092	CR44234	ncRNA
FBtr0082686	FBgn0038088	CG10126-RA	CG10126	protein_coding
FBtr0082687	FBgn0038088	CG10126-RB	CG10126	protein_coding
FBtr0347513	FBgn0267938	FBtr0347513	CR46218	ncRNA
FBtr0337090	FBgn0265166	FBtr0337090	CR44235	ncRNA
FBtr0082683	FBgn0038089	d-cup-RA	d-cup	protein_coding
FBtr0303313	FBgn0053929	FBtr0303313	CR33929	pseudogene
FBtr0082685	FBgn0038090	CG10909-RA	CG10909	protein_coding
FBtr0337087	FBgn0038092	beat-Vb-RB	beat-Vb	protein_coding
FBtr0082684	FBgn0038092	beat-Vb-RA	beat-Vb	protein_coding
FBtr0337089	FBgn0265167	FBtr0337089	CR44236	ncRNA
FBtr0082730	FBgn0040493	grsm-RB	grsm	protein_coding
FBtr0344095	FBgn0040493	grsm-RF	grsm	protein_coding
FBtr0082690	FBgn0087021	Spc25-RA	Spc25	protein_coding
FBtr0082691	FBgn0038095	Cyp304a1-RA	Cyp304a1	protein_coding
FBtr0082731	FBgn0038097	CG14384-RA	CG14384	protein_coding
FBtr0337088	FBgn0038097	CG14384-RB	CG14384	protein_coding
FBtr0082726	FBgn0038098	CG7381-RB	CG7381	protein_coding
FBtr0331429	FBgn0038098	CG7381-RF	CG7381	protein_coding
FBtr0331428	FBgn0038098	CG7381-RE	CG7381	protein_coding
FBtr0082727	FBgn0038098	CG7381-RA	CG7381	protein_coding
FBtr0301219	FBgn0038098	CG7381-RD	CG7381	protein_coding
FBtr0300278	FBgn0038099	CG7091-RB	CG7091	protein_coding
FBtr0334509	FBgn0038100	Paip2-RB	Paip2	protein_coding
FBtr0082693	FBgn0038100	Paip2-RA	Paip2	protein_coding
FBtr0113404	FBgn0051342	CG31342-RC	CG31342	protein_coding
FBtr0113403	FBgn0051342	CG31342-RB	CG31342	protein_coding
FBtr0082724	FBgn0038102	CG14383-RA	CG14383	protein_coding
FBtr0331426	FBgn0041710	yellow-f-RB	yellow-f	protein_coding
FBtr0082723	FBgn0041710	yellow-f-RA	yellow-f	protein_coding
FBtr0331427	FBgn0041710	yellow-f-RC	yellow-f	protein_coding
FBtr0082722	FBgn0038105	yellow-f2-RA	yellow-f2	protein_coding
FBtr0082695	FBgn0038106	CG7488-RA	CG7488	protein_coding
FBtr0082721	FBgn0038107	CG17327-RA	CG17327	protein_coding
FBtr0336813	FBgn0038107	CG17327-RC	CG17327	protein_coding
FBtr0344448	FBgn0265083	CG44194-RB	CG44194	protein_coding
FBtr0336814	FBgn0265083	CG44194-RA	CG44194	protein_coding
FBtr0334511	FBgn0038108	CG7518-RI	CG7518	protein_coding
FBtr0306257	FBgn0038108	CG7518-RG	CG7518	protein_coding
FBtr0334512	FBgn0038108	CG7518-RJ	CG7518	protein_coding
FBtr0306256	FBgn0038108	CG7518-RF	CG7518	protein_coding
FBtr0334510	FBgn0038108	CG7518-RH	CG7518	protein_coding
FBtr0082719	FBgn0038110	CG8031-RA	CG8031	protein_coding
FBtr0082698	FBgn0038109	CG11656-RA	CG11656	protein_coding
FBtr0100161	FBgn0020496	CtBP-RE	CtBP	protein_coding
FBtr0082699	FBgn0020496	CtBP-RA	CtBP	protein_coding
FBtr0334516	FBgn0020496	CtBP-RI	CtBP	protein_coding
FBtr0334515	FBgn0020496	CtBP-RH	CtBP	protein_coding
FBtr0334513	FBgn0020496	CtBP-RF	CtBP	protein_coding
FBtr0334517	FBgn0020496	CtBP-RJ	CtBP	protein_coding
FBtr0082700	FBgn0020496	CtBP-RC	CtBP	protein_coding
FBtr0082701	FBgn0020496	CtBP-RB	CtBP	protein_coding
FBtr0082702	FBgn0020496	CtBP-RD	CtBP	protein_coding
FBtr0334514	FBgn0020496	CtBP-RG	CtBP	protein_coding
FBtr0445183	FBgn0283438	CG46280-RB	CG46280	protein_coding
FBtr0445182	FBgn0283438	CG46280-RA	CG46280	protein_coding
FBtr0445184	FBgn0283439	CG46281-RA	CG46281	protein_coding
FBtr0082703	FBgn0002354	l(3)87Df-RA	l(3)87Df	protein_coding
FBtr0082704	FBgn0003308	ry-RA	ry	protein_coding
FBtr0082705	FBgn0038113	CG11668-RA	CG11668	protein_coding
FBtr0082716	FBgn0003450	snk-RA	snk	protein_coding
FBtr0334520	FBgn0003450	snk-RC	snk	protein_coding
FBtr0112833	FBgn0003450	snk-RB	snk	protein_coding
FBtr0300071	FBgn0038114	CG11670-RD	CG11670	protein_coding
FBtr0344831	FBgn0266615	CG45122-RA	CG45122	protein_coding
FBtr0082707	FBgn0001217	Hsc70-2-RA	Hsc70-2	protein_coding
FBtr0334519	FBgn0051157	CG31157-RD	CG31157	protein_coding
FBtr0334518	FBgn0051157	CG31157-RC	CG31157	protein_coding
FBtr0082715	FBgn0038115	CG7966-RA	CG7966	protein_coding
FBtr0082709	FBgn0260962	pic-RA	pic	protein_coding
FBtr0334614	FBgn0004666	sim-RD	sim	protein_coding
FBtr0082711	FBgn0004666	sim-RB	sim	protein_coding
FBtr0334613	FBgn0004666	sim-RC	sim	protein_coding
FBtr0082710	FBgn0004666	sim-RA	sim	protein_coding
FBtr0344006	FBgn0266302	FBtr0344006	CR44967	ncRNA
FBtr0304647	FBgn0262365	CG43063-RA	CG43063	protein_coding
FBtr0082712	FBgn0038118	timeout-RA	timeout	protein_coding
FBtr0445441	FBgn0085337	CG34308-RC	CG34308	protein_coding
FBtr0347173	FBgn0267683	FBtr0347173	CR46019	ncRNA
FBtr0301436	FBgn0260793	2mit-RA	2mit	protein_coding
FBtr0330143	FBgn0260793	2mit-RB	2mit	protein_coding
FBtr0344730	FBgn0260793	2mit-RD	2mit	protein_coding
FBtr0344729	FBgn0260793	2mit-RC	2mit	protein_coding
FBtr0344731	FBgn0266578	FBtr0344731	CR45109	ncRNA
FBtr0082732	FBgn0038122	CG8138-RA	CG8138	protein_coding
FBtr0082783	FBgn0038123	CG8508-RA	CG8508	protein_coding
FBtr0300768	FBgn0038124	CG14380-RB	CG14380	protein_coding
FBtr0082734	FBgn0038125	CG8141-RA	CG8141	protein_coding
FBtr0082782	FBgn0038126	CG8483-RA	CG8483	protein_coding
FBtr0082781	FBgn0038127	CG8476-RA	CG8476	protein_coding
FBtr0335223	FBgn0000024	Ace-RC	Ace	protein_coding
FBtr0082780	FBgn0000024	Ace-RA	Ace	protein_coding
FBtr0300486	FBgn0000024	Ace-RB	Ace	protein_coding
FBtr0082735	FBgn0040551	CG11686-RA	CG11686	protein_coding
FBtr0335222	FBgn0040551	CG11686-RB	CG11686	protein_coding
FBtr0082779	FBgn0038128	Ravus-RA	Ravus	protein_coding
FBtr0082736	FBgn0003598	Su(var)3-7-RA	Su(var)3-7	protein_coding
FBtr0301657	FBgn0003598	Su(var)3-7-RB	Su(var)3-7	protein_coding
FBtr0082778	FBgn0038129	TBC1D5-RA	TBC1D5	protein_coding
FBtr0082737	FBgn0038130	CG8630-RA	CG8630	protein_coding
FBtr0100257	FBgn0038131	CG15888-RB	CG15888	protein_coding
FBtr0082776	FBgn0038132	CG15887-RA	CG15887	protein_coding
FBtr0082738	FBgn0038133	Osi22-RA	Osi22	protein_coding
FBtr0082775	FBgn0038134	wntD-RA	wntD	protein_coding
FBtr0290037	FBgn0038135	CG8773-RB	CG8773	protein_coding
FBtr0082740	FBgn0038136	CG8774-RB	CG8774	protein_coding
FBtr0082741	FBgn0038136	CG8774-RA	CG8774	protein_coding
FBtr0082742	FBgn0052473	CG32473-RA	CG32473	protein_coding
FBtr0082743	FBgn0052473	CG32473-RC	CG32473	protein_coding
FBtr0082744	FBgn0052473	CG32473-RB	CG32473	protein_coding
FBtr0306120	FBgn0262844	CG43208-RA	CG43208	protein_coding
FBtr0335461	FBgn0264991	CG44142-RA	CG44142	protein_coding
FBtr0344451	FBgn0266455	CG45080-RA	CG45080	protein_coding
FBtr0082774	FBgn0038139	PK2-R2-RB	PK2-R2	protein_coding
FBtr0082773	FBgn0038139	PK2-R2-RA	PK2-R2	protein_coding
FBtr0082745	FBgn0038140	PK2-R1-RA	PK2-R1	protein_coding
FBtr0082746	FBgn0045442	mthl12-RA	mthl12	protein_coding
FBtr0303265	FBgn0086371	poly-RB	poly	protein_coding
FBtr0082772	FBgn0086371	poly-RA	poly	protein_coding
FBtr0082747	FBgn0027610	Dic1-RB	Dic1	protein_coding
FBtr0346113	FBgn0027610	Dic1-RC	Dic1	protein_coding
FBtr0082748	FBgn0027610	Dic1-RA	Dic1	protein_coding
FBtr0082749	FBgn0038142	CheA87a-RA	CheA87a	protein_coding
FBtr0082771	FBgn0023495	Lip3-RA	Lip3	protein_coding
FBtr0112505	FBgn0259831	CG34309-RA	CG34309	protein_coding
FBtr0082766	FBgn0038143	CG9813-RA	CG9813	protein_coding
FBtr0335460	FBgn0038143	CG9813-RG	CG9813	protein_coding
FBtr0082767	FBgn0038143	CG9813-RC	CG9813	protein_coding
FBtr0082769	FBgn0038143	CG9813-RE	CG9813	protein_coding
FBtr0082765	FBgn0038143	CG9813-RB	CG9813	protein_coding
FBtr0082768	FBgn0038143	CG9813-RD	CG9813	protein_coding
FBtr0082770	FBgn0038143	CG9813-RF	CG9813	protein_coding
FBtr0335457	FBgn0264987	FBtr0335457	CR44138	ncRNA
FBtr0082750	FBgn0038144	CG8870-RA	CG8870	protein_coding
FBtr0335459	FBgn0044511	mRpS21-RB	mRpS21	protein_coding
FBtr0082764	FBgn0044511	mRpS21-RA	mRpS21	protein_coding
FBtr0082755	FBgn0038145	Droj2-RE	Droj2	protein_coding
FBtr0082751	FBgn0038145	Droj2-RA	Droj2	protein_coding
FBtr0082752	FBgn0038145	Droj2-RB	Droj2	protein_coding
FBtr0082753	FBgn0038145	Droj2-RC	Droj2	protein_coding
FBtr0082754	FBgn0038145	Droj2-RD	Droj2	protein_coding
FBtr0082763	FBgn0038146	CG9799-RA	CG9799	protein_coding
FBtr0303262	FBgn0038147	CCHa2-RB	CCHa2	protein_coding
FBtr0082762	FBgn0038147	CCHa2-RA	CCHa2	protein_coding
FBtr0303263	FBgn0038147	CCHa2-RC	CCHa2	protein_coding
FBtr0082761	FBgn0040553	CG14374-RA	CG14374	protein_coding
FBtr0082756	FBgn0038148	CG14377-RA	CG14377	protein_coding
FBtr0335458	FBgn0038148	CG14377-RB	CG14377	protein_coding
FBtr0082760	FBgn0038149	GILT1-RA	GILT1	protein_coding
FBtr0100020	FBgn0053977	CG33977-RA	CG33977	protein_coding
FBtr0082759	FBgn0038150	yellow-e3-RA	yellow-e3	protein_coding
